Method,Name,Error,Occurrences
POST,POST /auth/login,CatchResponseError('Login failed for user_0056@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0025@fitsi.test: 429'),5
POST,POST /auth/login,CatchResponseError('Login failed for user_0100@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0052@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0097@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0070@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0009@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0054@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0080@fitsi.test: 401'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0015@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0086@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0043@fitsi.test: 429'),3
GET,GET /nutrition-profile/,HTTPError('404 Client Error: Not Found for url: GET /nutrition-profile/'),5
POST,POST /auth/login,CatchResponseError('Login failed for user_0091@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0099@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0044@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0082@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0017@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0039@fitsi.test: 429'),4
POST,POST /auth/login,CatchResponseError('Login failed for user_0072@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0060@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0040@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0011@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0042@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0001@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0014@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0008@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0034@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0090@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0063@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0057@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0098@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0065@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0037@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0016@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0073@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0033@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0089@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0095@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0045@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0036@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0087@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0085@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0094@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0078@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0050@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0032@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0082@fitsi.test: 401'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0053@fitsi.test: 429'),1
GET,GET /meals/summary,HTTPError('500 Server Error: Internal Server Error for url: GET /meals/summary'),7
POST,POST /auth/login,CatchResponseError('Login failed for user_0092@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0012@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0098@fitsi.test: 401'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0074@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0059@fitsi.test: 429'),4
POST,POST /auth/login,CatchResponseError('Login failed for user_0079@fitsi.test: 401'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0031@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0064@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0062@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0021@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0051@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0002@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0019@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0022@fitsi.test: 401'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0071@fitsi.test: 429'),2
POST,POST /api/food/water,HTTPError('500 Server Error: Internal Server Error for url: POST /api/food/water'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0030@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0088@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0066@fitsi.test: 429'),4
POST,POST /auth/login,CatchResponseError('Login failed for user_0084@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0017@fitsi.test: 401'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0076@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0083@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0013@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0046@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0043@fitsi.test: 401'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0006@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0055@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0029@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0080@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0077@fitsi.test: 401'),1
